BGGId,Rating,Username
279967,6.0,oldgoat3769967
279967,5.0,Be4tngU
279967,4.0,TomVasel
279967,3.0,Geeken
279649,7.1,naarnold
279556,10.0,Gareth00Simon
279556,8.0,rod3556lhs
279556,7.0,pierfederico
279556,6.0,vindex
279556,5.0,RAVENBURG
279556,4.0,natx17
279581,8.0,SeanXor
279581,7.5,Abiteacher
279581,7.0,PzVIE
184843,4.0,himokl
184843,1.0,OGRussHood
302911,7.0,Saxophonist
302911,7.0,fake
302911,6.62,Mrbinford
302911,6.5,Docrene
302911,5.0,Camponotus
302911,5.0,wellevorkanagawa
325681,8.0,kiwols
325681,6.5,HilkMAN
184861,7.0,oldgoat3769967
184861,4.1,Geeken
184861,3.0,rseater
279776,9.0,Molly may
279776,8.0,Gareth00Simon
279776,7.0,PSIM2
279776,7.0,Rikmaster
279776,7.0,pierfederico
279776,7.0,nsevaux
279776,6.0,yetima
279776,5.0,lacm
232238,8.0,zeroichi
226502,6.0,crimescene
279928,8.0,htwongah
279928,7.0,punkin312
279931,7.0,despelletjesvrienden
279931,7.0,fake
321757,8.0,TomVasel
321757,7.0,LukeNL
321757,6.0,oldgoat3769967
224680,7.0,Vespert
189919,5.0,Sethicus
293112,8.0,Walt Mulder
293112,7.0,RockyMountainNavy
293112,6.66,Geeken
189902,7.0,Joel2014
223590,8.0,rseater
223590,7.8,Walt Mulder
223590,7.0,Molly may
223590,6.0,yetima
321756,8.0,fake
321756,8.0,TomVasel
321756,7.0,ddash
321756,7.0,saba2
299105,9.0,marcocim
299105,7.8,Walt Mulder
229954,6.0,thetba
229954,5.5,softfairy
229954,5.0,jogosdomundo
229954,3.0,DeviantMagick
190064,7.001,OGRussHood
190047,7.4,Walt Mulder
190047,6.0,Posco
187383,8.0,fake
187383,3.5,DeviantMagick
228373,8.75,jmdsplotter
228373,8.0,drachetanzer
228373,7.0,Big Hand Jim
228373,6.0,PzVIE
228373,6.0,Hessu68
229910,6.0,MarkMagic
229910,4.5,Kweevnidny
229910,4.0,fake
293274,8.0,uscaucasus
293274,5.0,Pete Atack
298631,8.0,fake
298631,7.0,HilkMAN
298631,6.0,DerSchroeder
298631,6.0,kathuna
298631,6.0,ddash
301099,7.0,Katzula
301099,6.5,Hessu68
301099,6.0,ddash
301099,6.0,kathuna
301099,6.0,softfairy
301099,5.0,Kether1983
344338,8.0,Thesp
344338,8.0,william4192
344338,6.0,punkin312
344338,5.0,TomVasel
187704,7.0,Kether1983
298539,7.0,BudsBalkan
298539,6.0,xHOLYxSNIPERx
298539,6.0,sdiberar
344415,7.0,gimli043
344415,5.3,Geeken
229537,7.0,ej3ae
229537,7.0,Abiteacher
229537,6.5,SeanXor
229537,5.0,Tycho
293708,8.0,fake
228420,6.0,bigwig30
228420,4.44,Geeken
298618,7.0,punkin312
189833,3.8,naarnold
189833,2.0,himokl
189833,1.0,OGRussHood
293586,5.0,punkin312
293605,7.0,OGRussHood
293605,5.0,Boromir1983
189816,7.0,Zafin
189816,6.0,Bixby
189816,6.0,TomVasel
189816,3.0,oldgoat3769967
228419,10.0,jorgnaumann
298607,8.0,fake
298607,8.0,alleserik
298607,7.0,kathuna
344408,10.0,fake
344408,10.0,Florian Sohns
344408,7.0,Hessu68
344408,7.0,ifalunch
344408,7.0,saba2
344408,6.0,Cardboardworld
344408,6.0,akapastorguy
344408,5.25,jmdsplotter
344408,5.0,DerSchroeder
324602,7.0,Historix
324602,7.0,Rikmaster
324602,6.0,Nap16
324602,6.0,RockyMountainNavy
324602,6.0,airjudden
324602,6.0,vindex
324602,5.0,Gareth00Simon
324602,4.0,morsi
228310,7.0,htwongah
228310,5.0,ddash
228310,5.0,GrzeL
291549,7.5,BebryGamez
291549,6.0,kathuna
291549,6.0,ddash
291550,8.0,7-Brainbug
291550,7.0,kathuna
291550,6.0,Katzula
291550,6.0,kiwols
291550,5.5,Hessu68
291550,5.0,fake
230081,6.5,nvidia3dfx
187164,8.0,etherton
187164,7.0,thetba
230065,6.0,Florian Sohns
230065,6.0,TomVasel
230065,6.0,oldgoat3769967
230065,5.0,punkin312
299556,5.0,wapakguy
299556,1.0,Sintonic
224937,5.0,SeanXor
191032,8.0,djberg96
191032,8.0,uscaucasus
191032,8.0,airjudden
191032,7.49,RAVENBURG
191032,7.3,Walt Mulder
191032,7.0,pierfederico
191032,7.0,wayneb69
191032,7.0,oldgoat3769967
191032,6.0,FRANCONY robin
191032,5.5,Pete Atack
291415,10.0,marcocim
291415,7.8,Walt Mulder
291415,7.0,carpa1981
291415,6.5,Nap16
291415,1.0,Gilnean
291154,8.0,hariseldoncwb
291154,4.0,JasonSaastad
344258,8.0,TomVasel
190758,6.0,oceanodeuegos
190572,7.0,GrzeL
190572,5.0,Yacoff
291845,9.0,Vaude
291845,7.5,fibobs
291845,7.0,ifalunch
291845,6.0,ddash
230063,7.0,mjmelen
230063,6.5,richa283
230063,6.0,fake
223332,6.0,fake
223332,6.0,Posco
223332,5.5,DeviantMagick
223332,5.0,oldgoat3769967
292333,7.7,Walt Mulder
292333,7.0,WildChild82
292333,7.0,Rikmaster
323882,6.0,ifalunch
323882,5.0,Peerchen
299159,7.933,rjgomes
299159,7.5,punkin312
299159,6.5,AlasDemigod
299159,6.0,akapastorguy
190162,7.0,marcocim
190162,7.0,Lawrence Hung
190330,6.5,BebryGamez
187199,7.0,Walt Mulder
187199,7.0,SeanXor
187199,6.5,Nap16
187199,6.0,vindex
187199,6.0,RockyMountainNavy
187199,6.0,FRANCONY robin
187199,6.0,oldgoat3769967
306799,9.0,william4192
291957,6.0,Hessu68
291957,5.0,fake
291957,5.0,Kosmonaut
291957,4.0,barber
291957,4.0,kystas
190409,5.0,sdiberar
230040,8.0,Walt Mulder
230040,8.0,oldgoat3769967
230040,7.0,yetima
230040,7.0,Nap16
230040,7.0,gohrns
230040,7.0,FRANCONY robin
230040,7.0,lroces1969
230040,6.0,Tormenta
230040,5.0,breakmanynecks
230040,5.0,arnikefi
295646,8.0,jancis
295646,7.0,TomVasel
295646,6.5,punkin312
295931,10.0,arde_otra_vez
295931,8.0,Walt Mulder
295931,8.0,hierbabuena
295931,8.0,Julio_Alberto
295931,7.0,cfarrell
297897,8.0,fake
297897,6.0,DerSchroeder
297897,6.0,kathuna
297897,5.0,FC Dynamo Turbine
297897,5.0,Joel2014
228889,8.0,fake
228889,7.4,Walt Mulder
228889,6.0,Hessu68
188527,8.0,fake
296291,7.5,Florian Sohns
296291,7.0,boxoftricks_13
296291,6.0,Motorkopf
296291,5.0,YvainLionKnight
296353,7.0,punkin312
296353,5.0,fibobs
224039,7.5,fibobs
224039,5.0,TomVasel
224039,5.0,oldgoat3769967
224039,1.0,william4192
224454,7.0,punkin312
224454,4.0,fake
298147,8.0,bart_b
298147,7.0,fake
298147,6.0,ifalunch
298147,5.0,DerSchroeder
298147,5.0,ddash
229165,3.0,fake
229165,2.0,Roxolan
229131,7.0,htwongah
229131,6.0,Reuner
229131,5.5,TomVasel
298130,7.0,m1hune2007
322202,5.0,rseater
188759,7.25,pistonsfan94
188759,7.0,Lawrence Hung
188759,7.0,phersu
188759,7.0,Rikmaster
188759,7.0,Nap16
188759,7.0,Molly may
188759,6.0,marcocim
188759,6.0,FRANCONY robin
188759,6.0,breakmanynecks
188758,6.0,Posco
188753,6.0,Boromir1983
188753,4.0,Camponotus
188493,6.1,naarnold
296354,7.0,kathuna
296354,6.0,punkin312
297234,7.0,kelvbrown
296948,9.0,oldgoat3769967
224152,7.0,Mark1130
224152,7.0,SpaceAlien
224152,6.0,jmdsplotter
297702,9.0,rod3556lhs
297702,8.0,oldgoat3769967
297702,7.0,Gareth00Simon
297702,7.0,Khexhu
297702,7.0,coralsaw
297702,6.8,Walt Mulder
297702,6.5,RockyMountainNavy
297702,6.0,SBGrad
297702,6.0,FRANCONY robin
297139,3.0,akaisamurai001
297663,8.0,fake
297663,6.5,oldgoat3769967
297663,6.0,saba2
297374,9.0,airjudden
297374,8.0,NerdBoy_
297374,8.0,oldgoat3769967
297374,8.0,wayneb69
297374,6.0,phorment
297374,6.0,djberg96
297478,6.0,kathuna
297570,4.0,HilkMAN
297570,3.0,Geeken
188292,7.0,gimli043
188292,7.0,kathuna
188292,5.0,breakmanynecks
228601,5.0,DeviantMagick
296363,5.0,Slevin678
224122,7.5,punkin312
224122,6.2,HilkMAN
224122,5.25,jmdsplotter
224122,5.0,Lawster
224122,4.0,richa283
188389,5.8,fnord23
188389,5.0,jmdsplotter
188389,5.0,rseater
188389,4.0,crowchaser
188389,4.0,william4192
188389,3.0,rseater
228724,4.0,himokl
228724,3.0,oldgoat3769967
228724,2.0,miller1983
228724,2.0,TomVasel
296892,9.0,fake
296892,7.5,punkin312
228687,4.0,Andy Parsons
228687,3.5,SeanXor
228687,3.0,Abiteacher
296644,8.0,jstalica
296644,7.7,Walt Mulder
297735,7.0,TomVasel
297735,6.0,oldgoat3769967
189203,3.0,Sintonic
294594,10.0,marcocim
294594,10.0,nsevaux
294594,8.0,Lawrence Hung
294594,8.0,WildChild82
223892,6.0,OGRussHood
229369,7.5,Florian Sohns
229369,7.0,nikkapo
229369,5.0,fake
298345,8.5,oldgoat3769967
298345,6.0,JasonSaastad
294723,7.0,arde_otra_vez
294723,6.5,Bryan_Fury
294773,7.0,Nap16
294773,6.0,waltermac
294773,5.0,oldgoat3769967
294773,2.0,verandi
223946,7.5,pistonsfan94
223946,6.0,Boromir1983
223946,5.5,TomVasel
